"Articulo";"Marca";"Descripcion";"Codigo";"PrecioMinorista";"PrecioMayorista";"UnidadxBulto";"Nota";"Activo";"MonedaID";"ArticuloNuevoID";"MensajeBaja"
"DE09912012";"013";"Lanos 1.6 16V exterior A16DMS";"DE09912012";"15";"15";"1";"";"Y";"1";\N;\N
"DE02212030B";"013";"Nozumi Lanos 1,6  A16DMS 16V 30,3x6x102,5";"DE02212030B";"5";"5";"1";"";"Y";"1";\N;""
"MA08916010";"044";"626 rural  Automatica Trasera varios 88-95";"MA08916010";"35,1";"35,1";"1";"";"Y";"1";\N;""
"HO05211021";"018";"Prelude  trasera R/L 92/96";"HO05211021";"26";"26";"1";"";"Y";"1";\N;""
"IS05313002-337";"038";"Luv 2W y 4W derecho 89/95";"IS05313002";"9";"9";"1";"";"Y";"1";\N;\N
"MA05516020";"044";"B2200   78/On";"MA05516020";"50";"50";"1";"";"Y";"1";\N;""
"HO05711027";"018";"Civic inferior izq.con bujes 96/On";"HO05711027";"125";"125";"1";"";"Y";"1";\N;\N
"TO05721002";"073";"Corolla inferior der. 93/97";"TO05721002";"85";"85";"1";"";"Y";"1";\N;""
"HY08523050";"036";"Galloper  santamo IZQ";"HY08523050";"18";"18";"1";"";"Y";"1";\N;""
"TO08521060";"073";"RAV 4 DELANTERA IZQ/DER";"TO08521060";"18";"18";"1";"";"Y";"1";\N;""
"KI07814070";"041";"Sportage de parrilla inferior  lleva 2 93/03";"KI07814070";"8";"8";"1";"precio unitario";"Y";"1";\N;""
"MI08817013";"050";"MITSUBISHI INSIGNIA TREBOL	5,8 x 5 cm	gris cromo";"MI08817013";"20";"20";"1";"";"Y";"1";\N;""
"TO07821013";"073";"Hi Lux jgo.elastico  ";"TO07821013";"17";"17";"1";"";"Y";"1";\N;\N
"HO07211003-948";"018";"Accord-Coupe-Legend trasera 90/97";"HO07211003";"37";"37";"1";"";"Y";"1";\N;""
"MA05116011";"044";"626-MX6 delanteros 93/On";"MA05116011";"60";"60";"1";"delanteros diam. 256
";"Y";"1";\N;""
"NI04418012";"053";"SD20-22-23-25  11V";"NI04418012";"11,1";"11,1";"1";"";"Y";"1";\N;""
"HO07111002-1151";"036";"Elantra 1,8 Accord 1,8 - 2,0";"HO07111002";"45";"45";"1";"";"Y";"1";\N;""
"MA02616001C";"041";"NEWSUN fijo variable Avella  B6 - B3 78,00 mm";"MA02616001C";"15";"15";"1";"";"Y";"1";\N;""
"IS04613004";"038";"Trooper 15/16";"IS04613004";"90";"90";"1";"";"Y";"1";\N;""
"NI04818014";"053";"P.up CTA720 9/16 Trasero";"NI04818014";"14";"14";"1";"igual a ni04818015";"Y";"1";\N;\N
"TO04021003";"073";"Toyota	HI-lux 2,8	3L desde LN106 a LN111	90/99";"TO04021003";"26";"26";"1";"";"Y";"1";\N;""
"MA07016000-1576";"044";"B2200                                                  RF	 	97*c	electro ventilador DREIK";"MA07016000";"20";"20";"1";"";"Y";"1";\N;""
"BU07010017";"053";"SENTRA 1.6 16V                                  GA16			sensor temperatura  DREIK";"BU07010017";"10";"10";"1";"";"Y";"1";\N;""
"MI04317000-1715";"064";"Grand Vitara 2.0 TD RF  alternativa + caudal";"MI04317000";"30";"30";"1";"420 mm ,8 aspas";"Y";"1";\N;""
"MA08816020";"044";"EMBLEMA 6,6 x 5,1 cm cromo con fondo negro 626 93/97";"MA08816020";"20";"20";"1";"";"Y";"1";\N;""
"HO09311012";"018";"CRV Tapizado Puerta ";"HO09311012";"1,15";"1,15";"1";"";"Y";"1";\N;\N
"MA05916010/1";"044";"626- optica 93/97";"MA05916010/1";"100";"100";"1";"";"Y";"1";\N;\N
"DE00212090-10";"013";"c/apa Musso 602 5 cil Motor M.Benz 89,00 mm";"DE00212090";"0";"0";"1";"Debido a la gran cantidad de devoluciones de camisas. PEDIR SUBCONJUNTO MAS LA CAMISA EN LA MEDIDA NECESARIA.";"Y";"1";\N;""
"DE00712060C-70";"013";"NPR CROMO 2-2-4  Korando Family C223 Late 88,00 mm";"DE00712060C";"105";"105";"1";"solo para camisa de fundicion.";"Y";"1";\N;""
"DE02012030-198";"013";"Nozumi Espero 2,0 8V C20LE-NE";"DE02012030";"8";"8";"1";"";"Y";"1";\N;""
"DE02612030";"013";"Jiuh Men Espero 2,0 16V X20SED ";"DE02612030";"35";"35";"1";"";"Y";"1";\N;\N
"DE08212000";"013";"DAEWOO TICO-DAMAS ADM. JADE-003";"DE08212000";"5";"5";"1";"";"Y";"1";\N;\N
"DE08212001";"013";"DAEWOO TICO-DAMAS ESCAPE JEDE-004";"DE08212001";"5";"5";"1";"";"Y";"1";\N;\N
"DE08212002";"013";"DAEWOO TICO-DAMAS BRIDA ESCAPE  ";"DE08212002";"8";"8";"1";"";"Y";"1";\N;\N
"DE08212003";"013";"DAEWOO MATIZ BRIDA ESCAPE  ";"DE08212003";"5";"5";"1";"";"Y";"1";\N;\N
"DE08212012";"013";"DAEWOO Racer BRIDA ESCAPE VARIOS";"DE08212012";"10";"10";"1";"";"Y";"1";\N;\N
"DE08212022";"013";"DAEWOO Lanos 1,6 16V DOHC BRIDA ESCAPE VARIOS";"DE08212022";"5";"5";"1";"";"Y";"1";\N;\N
"DH00110060";"014";"Roky DL 92,00 mm";"DH00110060";"0";"0";"1";"Debido a la gran cantidad de devoluciones de camisas. PEDIR SUBCONJUNTO MAS LA CAMISA EN LA MEDIDA NECESARIA";"Y";"1";\N;""
"DH00210010A";"014";"Delta 2500 DG 88,00 mm";"DH00210010A";"0";"0";"1";"Debido a la gran cantidad de devoluciones de camisas. PEDIR SUBCONJUNTO MAS LA CAMISA EN LA MEDIDA NECESARIA";"Y";"1";\N;""
"DH00210060";"014";"Roky DL 92,00 mm";"DH00210060";"0";"0";"1";"Debido a la gran cantidad de devoluciones de camisas. PEDIR SUBCONJUNTO MAS LA CAMISA EN LA MEDIDA NECESARIA";"Y";"1";\N;""
"DH00210080";"014";"Delta 2500 DG 88,00 mm";"DH00210080";"0";"0";"1";"Debido a la gran cantidad de devoluciones de camisas. PEDIR SUBCONJUNTO MAS LA CAMISA EN LA MEDIDA NECESARIA";"Y";"1";\N;""
"DH00310000/1/2";"014";"STD - 0,5 - 1,0 Cuore 78/83 AB 2cil 71,60 mm";"DH00310000/1/2";"60";"60";"1";"";"Y";"1";\N;""
"DH00310010/1";"014";"STD.0,5  move 850 1990 3cil cuore 1990 ED 66,60 mm";"DH00310010/1";"85";"85";"1";"";"Y";"1";\N;""
"DH00310020/1/2";"014";"c/pozo y entrada val. Charade 78/83 CB 3cil 76,00 mm";"DH00310020/1/2";"70";"70";"1";"";"Y";"1";\N;\N
"DH00310030/1/2";"014";"3 cil.pozo red-ovalado Hijet 79/83 CB1 3cil 76,00 mm";"DH00310030/1/2";"70";"70";"1";"";"Y";"1";\N;\N
"DH00310035/6/7-317";"014";"cab.plana c/ent.valv. Charade 78/83 CB  3cil 76,00 mm";"DH00310035/6/7";"70";"70";"1";"";"Y";"1";\N;\N
"DH00310040/1";"014";"STD - 0,5 Aplausse-Feroza HD 76,00 mm";"DH00310040/1";"105";"105";"1";"";"Y";"1";\N;\N
"DH00310050/1";"014";"STD - 0,5 Charade-Terios HC 76,00 mm c/lomo";"DH00310050/1";"105";"105";"1";"";"Y";"1";\N;\N
"DH00310060";"014";"STD Roky DL 92,00 mm";"DH00310060";"200";"200";"1";"";"Y";"1";\N;""
"DH00310080";"014";"STD Delta 2500 DG 88,00 mm";"DH00310080";"0";"0";"1";"";"Y";"1";\N;\N
"DH00410000/1/2";"014";"STD - 0,5 Y 1.0 Cuore 78/83 AB  2cil 71,60 mm";"DH00410000/1/2";"70";"70";"1";"";"Y";"1";\N;""
"DH00410010/1";"014";"STD - 0.5 move 1990 3cil	Cuore 3cil-Move 850	ED 3 cil	66,60 mm";"DH00410010/1";"115";"115";"1";"Disponible en STD y 0.5";"Y";"1";\N;""
"DH00410020/1/2";"014";"c/pozo y entrada val. Charade 78/83 CB 3cil 76,00 mm";"DH00410020/1/2";"95";"95";"1";"";"Y";"1";\N;""
"DH00410030/1/2";"014";"3 cil.pozo red-ovalado Hijet 79/83 CB1 3cil 76,00 mm";"DH00410030/1/2";"95";"95";"1";"";"Y";"1";\N;""
"DH00410040/1";"014";"STD Y 0,5 Aplausse-Feroza HD 76,00 mm";"DH00410040/1";"137";"137";"1";"";"Y";"1";\N;\N
"DH00410050/1";"014";"STD Y 0,5 Charade-Terios HC 76,00 mm c/lomo";"DH00410050/1";"137";"137";"1";"";"Y";"1";\N;""
"DH00410060";"014";"STD Roky DL 92,00 mm";"DH00410060";"240";"240";"1";"";"Y";"1";\N;""
"DH00410080";"014";"STD   Delta 2500 DG 88,00 mm";"DH00410080";"230";"230";"1";"";"Y";"1";\N;""
"DH00510000/1/2";"014";"TIK STD 0.5 Y 1,0 Cuore 78/83 AB 2 cil 71,60 mm";"DH00510000/1/2";"20";"20";"1";"";"Y";"1";\N;""
"DE00712061-1981";"038";"RIK 2,5-2-4,5 Trooper 2,2 D C223 88,00 mm";"DE00712061";"73";"73";"1";"";"Y";"1";\N;""
"DE00712061-73";"013";"2,5-2-4,5 Korando Family C223 88,00 mm";"DE00712061";"73";"73";"1";"";"Y";"1";\N;""
"DE00712070-1982";"038";"2,5-2-4 Trooper 2,2 TD C223T 88,00 mm";"DE00712070";"80";"80";"1";"";"Y";"1";\N;""
