"ArticuloRubroID";"Rubro";"Articulo"
"38718";"014";"KO01010005/6/7"
"19187";"522";"IS05713003"
"37604";"526";"HO05311011-555"
"19667";"546";"TO07221030"
"19894";"505";"IS03113100"
"20129";"545";"NI04718030-1454"
"20358";"543";"MI04317000-1689"
"20591";"507";"MI05917030/1"
"41773";"043";"DE02212031-1"
"21158";"001";"TO01621212-465"
"21381";"042";"HO00311140/1"
"50233";"115";"ni02618132-1"
"21486";"054";"HO01111040/1/2-798"
"21487";"054";"HO01111020/1/2-799"
"21488";"054";"HO01111030/1/2"
"21489";"054";"HO01111040/1/2-801"
"21490";"054";"HO01111020/1/2-802"
"21491";"054";"HO01111040/1/2-803"
"21492";"054";"HO01111040/1/2-804"
"21493";"054";"HO01111050/1/2"
"21494";"071";"HO01211000/1-806"
"21495";"071";"HO01211000/1-807"
"21496";"071";"HO01211010/1-808"
"21497";"071";"HO01211010/1-809"
"21498";"071";"HO01211030/1-811"
"21499";"071";"HO01211010/1-812"
"21500";"071";"HO01211030/1-813"
"21501";"071";"HO01211030/1-814"
"21502";"071";"HO01211030/1-815"
"50064";"702";"DH03208191"
"50065";"702";"DH03208191"
"21505";"039";"HO01311007"
"21506";"039";"HO01311010"
"21507";"039";"HO01311020"
"21508";"039";"HO01311025"
"21509";"039";"HO01311030"
"50066";"702";"DH03208191"
"21511";"039";"HO01311035"
"21512";"039";"HO01311040"
"21513";"039";"HO01311050-826"
"21514";"039";"HO01311050-827"
"21515";"039";"HO01311060"
"21516";"039";"HO01311070"
"21517";"039";"HO01311073"
"21518";"039";"HO01311076"
"21519";"039";"HO01311080"
"45848";"043";"IS02213003B"
"21521";"039";"HO01312080"
"21522";"039";"HO01312070-835"
"21523";"039";"HO01312100"
"21524";"039";"HO01312110"
"21525";"039";"HO01312115"
"21526";"039";"HO01312120"
"21527";"039";"HO01312130"
"21528";"039";"HO01312140"
"21529";"039";"HO01312150"
"21530";"039";"HO01312160"
"50067";"610";"SZ04020105C"
"21532";"096";"HO01411003"
"21533";"096";"HO01411007"
"21534";"096";"HO01411005"
"21535";"096";"HO01411010-850"
"21536";"096";"HO01411020"
"21537";"096";"HO01411010-852"
"21538";"096";"HO01411011"
"21539";"096";"HO01411015"
"21540";"096";"HO01411030"
"21541";"096";"HO01411040-856"
"21542";"096";"HO01411040-857"
"21543";"096";"HO01411045"
"21544";"096";"HO01411050"
"21545";"096";"HO01411060"
"21546";"096";"HO01411150"
"21547";"096";"HO01411070"
"21548";"096";"HO01411080-863"
"21549";"096";"HO01411090"
"21550";"096";"HO01411080-865"
"21551";"096";"HO01411110"
"21552";"096";"HO01411120"
"21553";"096";"HO01411130"
"21554";"096";"HO01411140"
"21555";"096";"HO01412000"
"21556";"096";"HO01412010"
"21557";"047";"HO07411001"
"21558";"047";"HO07411010C-874"
"21559";"047";"HO07411010C-875"
"21560";"047";"HO07411010C-876"
"21561";"047";"HO07411010C-877"
"21562";"047";"HO07411010C-878"
"21563";"047";"HO07411010C-879"
"21564";"047";"HO07411010C-880"
"21565";"047";"HO07411010C-881"
"21566";"047";"HO07411050C"
"21567";"047";"HO07411075C"
"21568";"047";"HO07411110C-884"
"21569";"047";"HO07411110C-885"
"21570";"047";"HO07411110C-886"
"36772";"049";"KI00914045N-555"
"31194";"027";"TO02921011K"
"31307";"039";"CR01317400"
"31386";"049";"TO00921241"
"31466";"003";"RD60821"
"50081";"540";"HO07811006N-3"
"21577";"038";"HO01511010-894"
"21578";"038";"HO01511010-895"
"21579";"038";"HO01511015"
"21580";"038";"HO01511017"
"21581";"038";"HO01511020"
"21582";"038";"HO01511030"
"21583";"038";"HO01511035"
"21584";"038";"HO01511040"
"21585";"038";"HO01511050"
"21586";"038";"HO01511060"
"21588";"105";"HO01711010-905"
"21589";"105";"HO01711010-906"
"21590";"105";"HO01711015"
"21592";"105";"HO01711020-909"
"21593";"105";"HO01711030-910"
"21594";"105";"HO01711030T-911"
"21595";"105";"HO01711030-912"
"21596";"105";"HO01711030T-913"
"21597";"105";"HO01711040"
"21598";"105";"HO01711050"
"21599";"105";"HO01711060"
"21600";"105";"HO01711070"
"21601";"105";"IS01713140-918"
"50469";"030";"TO03621102"
"21603";"009";"HO01811010"
"50082";"540";"HO07811006N-4"
"21605";"034";"HO02111030"
"21606";"034";"HO02111020"
"21607";"034";"HO02111010-924"
"21609";"034";"HO02111010-926"
"21610";"034";"HO02111010-927"
"21611";"034";"HO02111040"
"33054";"058";"MI00117281-1"
"21613";"025";"HO02211002"
"32664";"054";"HY01123050/1/2"
"21615";"025";"HO02211020-932"
"50123";"021";"MI02417070C"
"21617";"025";"HO02211012"
"21618";"025";"HO02211014"
"21619";"025";"HO02211016"
"21620";"025";"HO02211030-937"
"21621";"025";"HO02211032-938"
"21622";"025";"HO02211030-939"
"21623";"025";"HO02211032-940"
"32236";"039";"HY01322070"
"33935";"112";"KI01814010-1"
"21626";"025";"HO02211042"
"21628";"025";"HO02211052"
"21629";"025";"HO02211054"
"21630";"025";"HO02211056"
"32709";"111";"IS00113162"
"21632";"025";"HO02211062"
"21633";"025";"HO02211070"
"21634";"025";"HO02211072"
"21635";"025";"HO02211082"
"21636";"025";"HO02211084"
"44716";"043";"TO02221243B"
"21638";"025";"HO02211100"
"21639";"043";"HO02211001"
"21640";"043";"HO02211003"
"21641";"043";"HO02211021-958"
"21642";"043";"HO02211021-959"
"50124";"021";"MI02417070C-1"
"21644";"043";"HO02211013"
"21646";"043";"HO02211033-963"
"21648";"043";"HO02211033-965"
"32237";"096";"HY01422070"
"32717";"543";"TO04321007"
"21651";"043";"HO02211043"
"21652";"043";"HO02211051"
"21653";"043";"HO02211053"
"21654";"043";"HO02211055"
"21655";"043";"HO02211057"
"21656";"043";"HO02211061"
"21657";"043";"HO02211063"
"21658";"043";"HO02211071"
"21659";"043";"HO02211073"
"21660";"043";"HO02211074"
"21661";"043";"HO02211075"
"21662";"043";"HO02211083"
"21663";"043";"HO02211085"
"21664";"043";"HO02211091"
"21665";"043";"HO02211101"
"21666";"078";"HO06611000"
"32833";"036";"HY02322090 556"
"21668";"078";"HO06611015-985"
"32967";"701";"TO03300010"
"37641";"096";"SZ01420120"
"32982";"700";"DE03800020"
"32990";"700";"DE03800090"
"32997";"700";"DH03800158"
"21674";"021";"HO02411020"
"21675";"021";"HO02411021"
"32371";"056";"HO02611062"
"21677";"115";"HO02611001"
"32372";"056";"HO02611050"
"21680";"115";"HO02611011-997"
"21681";"115";"HO02611012"
"32373";"078";"HY06622030-1"
"21683";"115";"HO02611021"
"32400";"067";"TO00521187/8"
"21685";"115";"HO02611031"
